_articleId,tags,geolocation,actorsMentioned,publicationDate,source
15,1,1,1,9/8/2021,"{
    ""name"": ""Trafico ZMG"",
    ""headline"": ""En septiembre cierran relleno sanitario Los Laureles"",
    ""url"": ""https://traficozmg.com/2021/08/en-septiembre-cierran-relleno-sanitario-los-laureles/"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""Redacci\u00f3n""
}"
16,1,1,1,9/8/2021,"{
    ""name"": ""Zona3"",
    ""headline"": ""En septiembre inicia el cierre de basurero Los Laureles"",
    ""url"": ""https://zona3.mx/home/en-septiembre-inicia-cierre-de-basurero-los-laureles/"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""Redacci\u00f3n""
}"
17,1,1,1,9/8/2021,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Reconoce alcalde de Tonal\u00e1 que cierre del basurero Laureles ser\u00e1 m\u00e1s tardado; podr\u00eda convertirse en planta de transferencia"",
    ""url"": ""https://lider919.com/reconoce-alcalde-de-tonala-que-cierre-del-basurero-laureles-sera-mas-tardado-podria-convertirse-en-planta-de-transferencia"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
18,1,1,1,10/8/2021,"{
    ""name"": ""Quadratin Jalisco"",
    ""headline"": ""Estado y municipios, sin resolver el problema del basurero Los Laureles\n\n"",
    ""url"": ""https://jalisco.quadratin.com.mx/sucesos/estado-y-municipios-sin-resolver-el-problema-del-basurero-los-laureles/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Javier Fr\u00edas\n\n""
}"
19,1,1,1,10/8/2021,"{
    ""name"": ""Canal 44/Radio UdeG"",
    ""headline"": ""Entrevista Enrique Enciso"",
    ""url"": "" https://bit.ly/3iy7zxw"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Cosa P\u00fablica/Rub\u00e9n Mar\u00edn y Jes\u00fas Estrada""
}"
20,1,1,1,10/8/2021,"{
    ""name"": ""El Diario NTR"",
    ""headline"": ""Cuestionan respaldo de Alfaro a Caabsa"",
    ""url"": ""https://www.ntrguadalajara.com/post.php?id_nota=170191&fb_comment_id=4386548174736200_4390065657717785"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Juan Levario""
}"
21,1,1,1,11/8/2021,"{
    ""name"": ""El Universal"",
    ""headline"": ""Denuncian incumplimiento en cierre de basurero en Jalisco"",
    ""url"": ""https://www.eluniversal.com.mx/estados/denuncian-incumplimiento-en-cierre-de-basurero-en-jalisco"",
    ""paywall "": true,
    ""coverageLevel"": ""Nacional"",
    ""author"": ""Ra\u00fal Torres""
}"
22,1,1,1,11/8/2021,"{
    ""name"": ""Astillero"",
    ""headline"": ""Entrevista Alan Carmona"",
    ""url"": ""https://www.youtube.com/watch?v=vQaURHMykqg"",
    ""paywall "": true,
    ""coverageLevel"": ""Nacional"",
    ""author"": ""Julio Astillero""
}"
23,1,1,1,11/8/2021,"{
    ""name"": ""Mural"",
    ""headline"": ""Construyen a contrarreloj vertedero en Tala"",
    ""url"": ""https://www.mural.com.mx/construyen-a-contrarreloj-vertedero-en-tala/gr/ar2238107?md5=a6ceee74719dd6dfd6de188cb0b4011d&ta=0dfdbac11765226904c16cb9ad1b2efe&utm_source=elemento_web&utm_medium=email&utm_campaign=promocion_suscriptor"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Violeta Mel\u00e9ndez""
}"
24,1,1,1,11/8/2021,"{
    ""name"": ""Meganoticias"",
    ""headline"": ""Investiga CEDHJ construcci\u00f3n de nuevo basurero metropolitano en Tala"",
    ""url"": ""https://www.meganoticias.mx/guadalajara/noticia/investiga-cedhj-construccion-de-nuevo-basurero-metropolitano-en-tala/264293"",
    ""paywall "": true,
    ""coverageLevel"": ""Nacional/Local"",
    ""author"": ""Jos\u00e9 Toral""
}"
